Список заявок на 02:26 28.11.23;;;;;;;;;;;;;;;;;;;;
№ свой;№ чужой;Предприятие;Комплекс;;Состояние заявки;Объект;Оборудование;Оборудование, выводимое в ремонт;Состояние оборудования по заявке;Программа переключений ;Актуализация;Разрешенное время - начало ;Разрешенное время -  конец;Просимое время - начало;Ремонт;Категория;Просрочена;А\Г;Заземление;Условия производства
12443;20302;Ленинградское РДУ;СДТУ.СДТУ Н;;Рассмотренная;ПС 750 кВ Ленинградская;СДТУ направления Ленинградское РДУ – ПС 750 кВ Ленинградская;;с отключением;П 2023-АСУ-ТО-2;;09:00 29.11.23;16:00 01.12.23;09:00 29.11.23;П;ПЛ;;01:00;;без отключения ЛЭП (оборудования)
12459;20841;Ленинградское РДУ;АСДУ.ПАК;;Рассмотренная;Ленинградское РДУ;CK11.Proxy;;без отключения;Пусто;;09:00 29.11.23;16:00 29.11.23;09:00 29.11.23;ОПО;НПЛ;;00:10;; 
12478;0;ОДУ Северо-Запада;СДТУ.СДТУ ДЦ;;Разрешенная;ОДУ Северо-Запада;СДТУ ОДУ Северо-Запада;;без отключения;Пусто;;09:00 29.11.23;18:00 30.11.23;09:00 29.11.23;ВП;НПЛ;;00:30;; 
12551;21003;Ленинградское РДУ;ЛЭП.ЛЭП 330 кВ;;Разрешенная;МЭС Северо-Запада;ВЛ 330 кВ Выборгская – Каменногорская;;без отключения;Пусто;;09:00 29.11.23;17:00 29.12.23;09:00 29.11.23;ЗРР;ПЛ;;00:30;; 
12554;4776;Коми РДУ;АСДУ.ПАК;;Разрешенная;Коми РДУ;CK11.Proxy;;без отключения;Пусто;;09:00 29.11.23;20:00 29.11.23;09:00 29.11.23;ОПО;НПЛ;;00:30;; 
12672;4827;Коми РДУ;АСДУ.ПАК;;Разрешенная;Коми РДУ;ИУС «Система мониторинга запасов устойчивости» (ИУС СМЗУ Коми РДУ);;с отключением;Пусто;;09:00 29.11.23;16:00 29.11.23;09:00 29.11.23;ОПО;НПЛ;;00:30;; 
12269;6420;Карельское РДУ;СДТУ.СДТУ Н;;Рассмотренная;Ондская ГЭС (ГЭС-4);СДТУ направления Карельское РДУ – Ондская ГЭС (ГЭС-4);;без отключения;КП;;08:00 29.11.23;17:00 01.12.23;08:00 29.11.23;Н;НПЛ;;00:05;;без отключения ЛЭП (оборудования)
12409;20303;Ленинградское РДУ;РЗА.ПА;;Разрешенная;ПС 330 кВ Сясь;Комплект ПА №2 ВЛ 330 кВ Сясь – Петрозаводск (ФОЛ, АЛАР, АОПН, УРОВ АОПН);;с отключением;Б;;08:00 29.11.23;24:00 30.11.23;08:00 29.11.23;ВП;НПЛ;;04:00;;без отключения ЛЭП (оборудования)
12625;0;ОДУ Северо-Запада;СДТУ.СДТУ Н;;Рассмотренная;ОДУ Северо-Запада;СДТУ направления ОДУ Северо-Запада – Коми РДУ;;без отключения;Пусто;;01:00 29.11.23;05:40 29.11.23;01:00 29.11.23;К;НПЛ;;ВЗ;; 
12644;1152;Киришская ГРЭС;ЭНРГ.Б;;Разрешенная;Киришская ГРЭС;Блок 1;;с отключением;Пусто;;00:01 29.11.23;24:00 25.12.23;00:01 29.11.23;ХР;НПЛ;;ВЗ;; 
11947;4616;Коми РДУ;ЭЛТ.В.В 220 кВ;;Разрешенная;Печорская ГРЭС;ОШВ-1;;с отключением;Б;;00:00 29.11.23;24:00 04.12.23;00:00 29.11.23;ВПр;НПЛ;;04:00;;с разборкой токовых цепей
12154;20158;МЭС Северо-Запада;РЗА.РЗ;;Разрешенная;ПС 330 кВ Колпино;ДЗШ 2 комплект 3 СШ 330 (7UT63);;с отключением;Б;;00:00 29.11.23;24:00 30.11.23;00:00 29.11.23;ВП;ПЛ;;01:00;;без отключения ЛЭП (оборудования)
12522;20744;Ленинградское РДУ;ЭЛТ.АТ,Т.АТ,Т 330 кВ;;Разрешенная;ПС 330 кВ Ржевская;АТ-1;;с отключением;П Вывод 122/144, ввод 123/145 от 15.11.2023;да;00:00 29.11.23;24:00 30.11.23;00:00 29.11.23;БВР;НПЛ;;04:00;; 
12525;20746;Ленинградское РДУ;ЭЛТ.В.В 110 кВ;;Разрешенная;ПС 330 кВ Ржевская;1В-110 АТ-1;;с отключением;Б;;00:00 29.11.23;24:00 30.11.23;00:00 29.11.23;ВПр;НПЛ;;04:00;; 
12616;4384;Балтийское РДУ;ЭНРГ.Б;;Разрешенная;Прегольская ТЭС;Блок 3;;с отключением;Пусто;;15:01 28.11.23;00:59 01.01.24;15:01 28.11.23;ХР;НПЛ;;ВЗ;; 
12385;0;ОДУ Северо-Запада;АСДУ.ПАК;;Разрешенная;ОДУ Северо-Запада;ПАК «MODES-Terminal»;;с отключением;КП;;13:00 28.11.23;18:00 28.11.23;13:00 28.11.23;ОПО;НПЛ;;00:25;; 
12607;40684;ЦДУ;АСДУ.ПАК;;Разрешенная;ЦДУ;ПАК «MODES-Terminal»;;с отключением;Пусто;;10:30 28.11.23;14:30 28.11.23;10:30 28.11.23;ОПО;НПЛ;;00:15;; 
12442;20804;Ленинградское РДУ;СДТУ.СДТУ Н;;Разрешенная;ТЭЦ ПГУ ГСР Энерго;СДТУ направления Ленинградское РДУ – ТЭЦ ПГУ ГСР Энерго;;без отключения;Пусто;;10:00 28.11.23;15:30 16.12.23;10:00 28.11.23;ВП;НПЛ;;01:00;; 
12450;4341;Балтийское РДУ;АСДУ.ПАК;;Разрешенная;Балтийское РДУ;ПАК «MODES-Terminal»;;с отключением;Пусто;;10:00 28.11.23;18:00 28.11.23;10:00 28.11.23;ОПО;НПЛ;;00:30;; 
12606;39616;ЦДУ;АСДУ.ОИК;;Разрешенная;ЦДУ;ИУС «ОИК СК-11»;;с отключением;Пусто;;10:00 28.11.23;15:00 28.11.23;10:00 28.11.23;П;НПЛ;;01:00;; 
12419;20745;Ленинградское РДУ;АСДУ.ПАК;;Разрешенная;Ленинградское РДУ;ПАК «MODES-Terminal»;;без отключения;Пусто;;09:30 28.11.23;12:30 28.11.23;09:30 28.11.23;ОПО;НПЛ;;00:30;; 
12454;0;ОДУ Северо-Запада;ЭЛТ.Прочее ЭЛТ;;Разрешенная;Ленинградское РДУ;Снижение надежности системы бесперебойного или гарантированного электроснабжения диспетчерского центра Ленинградское РДУ;;без отключения;Б;;09:30 28.11.23;16:30 28.11.23;09:30 28.11.23;ЗРР;ПЛ;;00:30;; 
12118;0;ОДУ Северо-Запада;АСДУ.СС;;Разрешенная;ОДУ Северо-Запада;Корпоративная интеграционно-транспортная система (КИТС);;с отключением;Пусто;;09:00 28.11.23;18:00 30.11.23;09:00 28.11.23;ОПО;НПЛ;;00:15;; 
12247;0;ОДУ Северо-Запада;РЗА.РА;;Разрешенная;ОДУ Северо-Запада;ЦС АРЧМ ОЭС Северо-Запада;;без отключения;Пусто;;09:00 28.11.23;18:00 28.11.23;09:00 28.11.23;ВПр;НПЛ;;00:10;; 
12395;6445;Карельское РДУ;СДТУ.СДТУ Н;;Разрешенная;ПС 330 кВ Петрозаводск;СДТУ направления Карельское РДУ – ПС 330 кВ Петрозаводск;;с отключением;Пусто;;09:00 28.11.23;24:00 30.11.23;09:00 28.11.23;К;ПЛ;;00:15;;с включением на ночь
12417;20268;Ленинградское РДУ;СДТУ.СДТУ Н;;Разрешенная;ПС 750 кВ Ленинградская;СДТУ направления Ленинградское РДУ – ПС 750 кВ Ленинградская;;с отключением;П 2023-АСУ-2;;09:00 28.11.23;24:00 28.11.23;09:00 28.11.23;ВП;ПЛ;;01:00;;без отключения ЛЭП (оборудования)
12604;40821;ЦДУ;СДТУ.СДТУ Н;;Разрешенная;ЦДУ;СДТУ направления ЦДУ – ОДУ;;без отключения;Пусто;;09:00 28.11.23;19:00 28.11.23;09:00 28.11.23;ВКЛ;НПЛ;;00:30;; 
12446;6456;Новгородское РДУ;АСДУ.ПАК;;Разрешенная;Новгородское РДУ;ПАК «MODES-Terminal»;;с отключением;Пусто;;08:30 28.11.23;17:00 28.11.23;08:30 28.11.23;ОПО;НПЛ;;00:30;; 
12258;6588;Кольское РДУ;РЗА.РА.ОПРЧ;;Разрешенная;Кольская АЭС;ОПРЧ Блока 2;;с отключением;Пусто;;08:00 28.11.23;17:00 28.11.23;08:00 28.11.23;НГ;ПЛ;;ВЗ;;без отключения ЛЭП (оборудования)
12420;0;ОДУ Северо-Запада;АСДУ.ПАК;;Разрешенная;ОДУ Северо-Запада;CK11.Proxy;;без отключения;Пусто;;08:00 28.11.23;18:00 28.11.23;08:00 28.11.23;ОПО;НПЛ;;00:30;; 
12421;6704;Кольское РДУ;АСДУ.ПАК;;Разрешенная;Кольское РДУ;ПАК «MODES-Terminal»;;с отключением;Пусто;;08:00 28.11.23;24:00 28.11.23;08:00 28.11.23;ОПО;НПЛ;;00:40;; 
12447;6553;Карельское РДУ;АСДУ.ПАК;;Разрешенная;Карельское РДУ;CK11.Proxy;;без отключения;Пусто;;08:00 28.11.23;17:00 30.11.23;08:00 28.11.23;ОПО;НПЛ;;00:30;; 
12546;6738;Кольское РДУ;АСДУ.ПАК;;Разрешенная;Кольское РДУ;CK11.Proxy;;без отключения;Пусто;;08:00 28.11.23;24:00 28.11.23;08:00 28.11.23;ОПО;НПЛ;;ВЗ;; 
12503;20924;Ленинградское РДУ;ЭЛТ.В.В 330 кВ;;Разрешенная;Ленинградская АЭС;В-1 ГТ-4;;с отключением;Б;;07:00 28.11.23;21:00 12.12.23;07:00 28.11.23;ТР;НПЛ;;06:00;;с отключением токовых цепей
12640;6546;Новгородское РДУ;ЭНРГ.Б;;Открытая;Псковская ГРЭС;Блок 2;;с отключением;Пусто;;00:30 28.11.23;24:00 30.12.23;00:30 28.11.23;ХР;НПЛ;;ВЗ;; 
12634;1147;Киришская ГРЭС;ЭНРГ.Б;;Открытая;Киришская ГРЭС;Блок 6;;без отключения;Пусто;;00:01 28.11.23;24:00 28.11.23;00:01 28.11.23;ОГР;НПЛ;;ВЗ;; 
12658;1154;Киришская ГРЭС;ЭНРГ.Б;;Открытая;Киришская ГРЭС;Блок 2;;с отключением;Пусто;;00:01 28.11.23;24:00 25.12.23;00:01 28.11.23;ХР;НПЛ;;ВЗ;; 
12580;0;ОДУ Северо-Запада;СДТУ.СДТУ Н;;Открытая;ОДУ Северо-Запада;СДТУ направления ОДУ Северо-Запада – Elering AS;;без отключения;Пусто;;00:00 28.11.23;24:00 31.12.23;00:00 28.11.23;АР;АВ;;ВЗ;; 
12626;0;ОДУ Северо-Запада;СДТУ.СДТУ Н;;Рассмотренная;ОДУ Северо-Запада;СДТУ направления ОДУ Северо-Запада – Кольское РДУ;;без отключения;Пусто;;00:00 28.11.23;06:00 28.11.23;00:00 28.11.23;К;НПЛ;;ВЗ;; 
12629;6841;Кольское РДУ;ЭНРГ.ГГ;;Открытая;Верхне-Туломская ГЭС-12;ГГ-2;;без отключения;Пусто комплексная программа от 10.08.2023;;00:00 28.11.23;24:00 30.11.23;00:00 28.11.23;ИСП;ПЛ;;ВЗ;; 
12701;1156;Киришская ГРЭС;ЭНРГ.Б;;Открытая;Киришская ГРЭС;Блок 3;;с отключением;Пусто;;00:00 28.11.23;24:00 25.12.23;00:00 28.11.23;ХР;НПЛ;;ВЗ;; 
12703;21297;Ленинградское РДУ;ЭНРГ.Б;;Открытая;Юго-Западная ТЭЦ;Блок 2;Г-23 (ГТУ-23) Блок 2;без отключения;Пусто;;00:00 28.11.23;24:00 28.11.23;00:00 28.11.23;ВПр;АВ;;ВЗ;; 
12193;6307;Новгородское РДУ;РЗА.РЗ;;Разрешенная;ПС 330 кВ Псков;ДЗОШ-330 2Ш 330 АТ-2;;с отключением;Б от 22.11.23;;17:00 27.11.23;24:00 28.11.23;09:00 22.11.23;ВПр;НПЛ;;02:00;;без отключения ЛЭП (оборудования)
